	abstract	1	2	3	4	5	6	7	8	9	10
640	12221072.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
643	12237307.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
656	12372304.txt	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
668	12402194.txt	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
697	12467973.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
707	12505155.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
716	12542470.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
725	12574161.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
744	12621023.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
758	12646273.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
762	12654830.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
764	12659860.txt	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
766	12662939.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
774	12693965.txt	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
785	12740394.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
809	12813035.txt	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
810	12815039.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
813	12824502.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
838	12893946.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
840	12902405.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
856	12956940.txt	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
858	12963340.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0
896	1437549.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
900	14499622.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
912	14555757.txt	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
933	14624239.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
945	14657025.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
950	14668339.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
952	14672668.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
954	14675188.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
956	14676189.txt	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
970	14707135.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
978	14732712.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
988	14752045.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
989	14758037.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1006	14960576.txt	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
1027	14993593.txt	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
